SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE
2019,9,16,월,ARP1,ARP3,L,L1702,A,9:05,,
2019,9,16,월,ARP3,ARP1,L,L1702,D,7:55,,
2019,9,16,월,`,ARP3,L,L1720,A,14:40,,
2019,9,16,월,ARP3,ARP1,L,L1720,D,13:30,,
2019,9,16,월,ARP4,ARP3,L,L1808,A,20:10,,
2019,9,16,월,ARP3,ARP4,L,L1808,D,19:10,,
2019,9,16,월,ARP3,ARP9,J,J1934,A,16:00,,
2019,9,16,월,ARP9,ARP3,J,J1934,D,15:00,,
2019,9,16,월,ARP3,ARP1,L,L1703,A,8:10,,
2019,9,16,월,ARP1,ARP3,L,L1703,D,7:00,,
2019,9,16,월,ARP3,ARP4,L,L1809,A,20:35,,
2019,9,16,월,ARP4,ARP3,L,L1809,D,19:35,,
2019,9,16,월,ARP3,ARP1,L,L1731,A,19:20,,
2019,9,16,월,ARP1,ARP3,L,L1731,D,18:10,,
2019,9,16,월,ARP9,ARP3,J,J1935,A,14:25,,
2019,9,16,월,ARP3,ARP1,L,L1705,A,9:25,,
2019,9,16,월,ARP1,ARP3,L,L1705,D,8:15,,
2019,9,16,월,ARP1,ARP3,L,L1732,A,21:05,,
2019,9,16,월,ARP3,ARP1,L,L1732,D,19:55,,
2019,9,16,월,ARP4,ARP3,L,L1810,A,22:10,,
2019,9,16,월,ARP3,ARP4,L,L1810,D,21:10,,
2019,9,16,월,ARP3,ARP9,J,J1935,D,13:25,,
2019,9,16,월,ARP3,ARP6,J,J1954,A,9:25,,
2019,9,16,월,ARP6,ARP3,J,J1954,D,8:20,,
2019,9,16,월,ARP1,ARP3,L,L1706,A,9:55,,
2019,9,16,월,ARP3,ARP1,L,L1706,D,8:45,,
2019,9,16,월,ARP3,ARP1,L,L1733,A,19:35,,
2019,9,16,월,ARP1,ARP3,L,L1733,D,18:25,,
2019,9,16,월,ARP3,ARP8,L,L1901,A,10:25,,
2019,9,16,월,ARP8,ARP3,L,L1901,D,9:30,,
2019,9,16,월,ARP6,ARP3,J,J1955,A,11:10,,
2019,9,16,월,ARP3,ARP1,L,L1707,A,10:55,,
2019,9,16,월,ARP1,ARP3,L,L1707,D,9:45,,
2019,9,16,월,ARP1,ARP3,L,L1734,A,21:40,,
2019,9,16,월,ARP3,ARP1,L,L1734,D,20:30,,
2019,9,16,월,ARP8,ARP3,L,L1902,A,8:55,,
2019,9,16,월,ARP3,ARP8,L,L1902,D,8:05,,
2019,9,16,월,ARP3,ARP6,J,J1955,D,10:05,,
2019,9,16,월,ARP1,ARP3,L,L1708,A,11:10,,
2019,9,16,월,ARP3,ARP1,L,L1708,D,10:00,,
2019,9,16,월,ARP3,ARP1,L,L1735,A,20:00,,
2019,9,16,월,ARP1,ARP3,L,L1735,D,18:50,,
2019,9,16,월,ARP3,ARP8,L,L1903,A,12:55,,
2019,9,16,월,ARP8,ARP3,L,L1903,D,12:10,,
2019,9,16,월,ARP3,ARP6,J,J1956,A,15:20,,
2019,9,16,월,ARP6,ARP3,J,J1956,D,14:15,,
2019,9,16,월,ARP1,ARP3,L,L1736,A,22:15,,
2019,9,16,월,ARP3,ARP1,L,L1736,D,21:05,,
2019,9,16,월,ARP8,ARP3,L,L1904,A,11:40,,
2019,9,16,월,ARP3,ARP8,L,L1904,D,10:50,,
2019,9,16,월,ARP6,ARP3,J,J1957,A,13:35,,
2019,9,16,월,ARP3,ARP6,J,J1957,D,12:30,,
2019,9,16,월,ARP1,ARP3,L,L1710,A,12:15,,
2019,9,16,월,ARP3,ARP1,L,L1710,D,11:05,,
2019,9,16,월,ARP3,ARP4,L,L1801,A,7:20,,
2019,9,16,월,ARP4,ARP3,L,L1801,D,6:20,,
2019,9,16,월,ARP1,ARP3,L,L1712,A,12:45,,
2019,9,16,월,ARP3,ARP1,L,L1712,D,11:35,,
2019,9,16,월,ARP1,ARP3,L,L1722,A,16:15,,
2019,9,16,월,ARP3,ARP1,L,L1722,D,15:05,,
2019,9,16,월,ARP4,ARP3,L,L1802,A,9:25,,
2019,9,16,월,ARP3,ARP4,L,L1802,D,8:25,,
2019,9,16,월,ARP3,ARP8,L,L1905,A,17:15,,
2019,9,16,월,ARP8,ARP3,L,L1905,D,16:30,,
2019,9,16,월,ARP6,ARP3,J,J1959,A,16:40,,
2019,9,16,월,ARP3,ARP6,J,J1959,D,15:30,,
2019,9,16,월,ARP3,ARP1,L,L1713,A,12:55,,
2019,9,16,월,ARP1,ARP3,L,L1713,D,11:45,,
2019,9,16,월,ARP3,ARP1,L,L1723,A,15:45,,
2019,9,16,월,ARP3,ARP4,L,L1803,A,9:55,,
2019,9,16,월,ARP4,ARP3,L,L1803,D,8:55,,
2019,9,16,월,ARP8,ARP3,L,L1906,A,15:55,,
2019,9,16,월,ARP3,ARP8,L,L1906,D,15:05,,
2019,9,16,월,ARP3,ARP6,J,J1960,A,18:25,,
2019,9,16,월,ARP1,ARP3,L,L1723,D,14:35,,
2019,9,16,월,ARP4,ARP3,L,L1804,A,15:50,,
2019,9,16,월,ARP3,ARP4,L,L1804,D,14:45,,
2019,9,16,월,ARP3,ARP7,L,L1931,A,7:30,,
2019,9,16,월,ARP7,ARP3,L,L1931,D,6:40,,
2019,9,16,월,ARP6,ARP3,J,J1960,D,17:20,,
2019,9,16,월,ARP3,ARP1,L,L1715,A,14:00,,
2019,9,16,월,ARP1,ARP3,L,L1715,D,12:50,,
2019,9,16,월,ARP3,ARP1,L,L1725,A,16:25,,
2019,9,16,월,ARP1,ARP3,L,L1725,D,15:15,,
2019,9,16,월,ARP7,ARP3,L,L1932,A,19:00,,
2019,9,16,월,ARP3,ARP7,L,L1932,D,18:10,,
2019,9,16,월,ARP3,ARP10,M,M1361,A,11:25,,
2019,9,16,월,ARP10,ARP3,M,M1361,D,9:50,,
2019,9,16,월,ARP1,ARP3,L,L1726,A,17:30,,
2019,9,16,월,ARP3,ARP1,L,L1726,D,16:20,,
2019,9,16,월,ARP3,ARP4,L,L1805,A,11:05,,
2019,9,16,월,ARP4,ARP3,L,L1805,D,10:05,,
2019,9,16,월,ARP3,ARP10,M,M1363,A,18:10,,
2019,9,16,월,ARP10,ARP3,M,M1363,D,16:50,,
2019,9,16,월,ARP3,ARP1,L,L1717,A,14:30,,
2019,9,16,월,ARP1,ARP3,L,L1717,D,13:20,,
2019,9,16,월,ARP3,ARP1,L,L1727,A,18:35,,
2019,9,16,월,ARP1,ARP3,L,L1727,D,17:25,,
2019,9,16,월,ARP4,ARP3,L,L1806,A,19:05,,
2019,9,16,월,ARP3,ARP4,L,L1806,D,18:05,,
2019,9,16,월,ARP3,ARP1,L,L1701,A,7:50,,
2019,9,16,월,ARP1,ARP3,L,L1701,D,6:40,,
2019,9,16,월,ARP1,ARP3,L,L1718,A,13:55,,
2019,9,16,월,ARP3,ARP1,L,L1718,D,12:45,,
2019,9,16,월,ARP1,ARP3,L,L1728,A,18:15,,
2019,9,16,월,ARP3,ARP1,L,L1728,D,17:05,,
2019,9,16,월,ARP3,ARP4,L,L1807,A,17:30,,
2019,9,16,월,ARP4,ARP3,L,L1807,D,16:25,,
2019,9,16,월,ARP1,ARP4,B,B1850,A,21:00,,
2019,9,16,월,ARP4,ARP1,B,B1850,D,20:05,,
2019,9,16,월,ARP1,ARP5,J,J1607,A,13:10,,
2019,9,16,월,ARP5,ARP1,J,J1607,D,12:10,,
2019,9,16,월,ARP5,ARP1,J,J1608,A,14:50,,
2019,9,16,월,ARP1,ARP5,J,J1608,D,13:50,,
2019,9,16,월,ARP8,ARP1,A,A1703,A,10:30,,
2019,9,16,월,ARP1,ARP8,A,A1703,D,9:35,,
2019,9,16,월,ARP9,ARP1,J,J1334,A,9:40,,
2019,9,16,월,ARP1,ARP9,J,J1334,D,8:40,,
