SSC,FLT,ORG,DES,STD,STA,FLO,MON,TUE,WED,THU,FRI,SAT,SUN,FSD,FED,IRR
S19,A1915,ARP1,ARP3,7:55,9:05,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1904,ARP3,ARP1,7:55,9:05,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1304,ARP3,ARP1,8:00,9:15,I,Y,,Y,Y,Y,,Y,20190331,20191026,N
S19,B1802,ARP2,ARP1,8:00,8:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,,Y,Y,,Y,Y,,20190730,20190824,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,,Y,Y,Y,Y,Y,Y,20190331,20190728,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,Y,,,Y,,,,20190902,20191017,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,,Y,Y,,Y,Y,Y,20190827,20191020,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,Y,,,,,,,20190401,20190722,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,Y,,,Y,,,Y,20190729,20190829,N
S19,J1208,ARP1,ARP3,8:00,9:10,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1304,ARP3,ARP1,8:05,9:15,I,,Y,,,,,,20190331,20191026,N
S19,J1209,ARP3,ARP1,8:10,9:20,J,,,,,,Y,Y,20190406,20191026,N
S19,F1207,ARP1,ARP3,8:10,9:20,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1222,ARP1,ARP3,11:20,12:30,J,,,,Y,,Y,,20190808,20191026,N
S19,J1222,ARP1,ARP3,11:20,12:30,J,,Y,,,,,,20190813,20191022,N
S19,J1222,ARP1,ARP3,11:20,12:30,J,,,,,,Y,,20190504,20190803,N
S19,J1222,ARP1,ARP3,11:25,12:35,J,,,,,Y,,,20190802,20191025,N
S19,J1222,ARP1,ARP3,11:25,12:35,J,,,,,Y,,,20190405,20190726,N
S19,B1029,ARP1,ARP3,11:25,12:30,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1811,ARP1,ARP2,11:30,12:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1210,ARP3,ARP1,11:35,12:45,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1113,ARP1,ARP3,11:35,12:30,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1221,ARP3,ARP1,11:40,12:50,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1111,ARP2,ARP1,11:40,12:40,J,,,,,,,Y,20190331,20191020,N
S19,H1112,ARP3,ARP1,11:40,12:50,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1111,ARP2,ARP1,11:40,12:40,J,Y,Y,Y,Y,Y,Y,,20190401,20191026,N
S19,I1314,ARP3,ARP1,11:45,13:00,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,L1713,ARP1,ARP3,11:45,12:55,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1213,ARP1,ARP3,11:50,13:00,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1943,ARP1,ARP3,11:50,13:05,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1224,ARP1,ARP3,11:50,13:00,J,,,Y,,,Y,,20190403,20191026,N
S19,J1224,ARP1,ARP3,11:55,13:05,J,Y,,,,,,,20190429,20191021,N
S19,J1251,ARP3,ARP1,18:05,19:15,J,,,,,,Y,Y,20190525,20190728,N
S19,J1251,ARP3,ARP1,18:05,19:15,J,,Y,Y,Y,Y,,,20190702,20190726,N
S19,J1251,ARP3,ARP1,18:05,19:15,J,,Y,Y,Y,,,Y,20190730,20190804,N
S19,J1251,ARP3,ARP1,18:05,19:15,J,,Y,Y,,Y,Y,,20190802,20191019,N
S19,F1224,ARP3,ARP1,18:05,19:10,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1227,ARP1,ARP3,18:10,19:20,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1015,ARP1,ARP3,18:10,19:20,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,L1731,ARP1,ARP3,18:10,19:20,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1255,ARP3,ARP1,18:15,19:25,J,,,Y,,Y,,Y,20190904,20191025,N
S19,J1255,ARP3,ARP1,18:15,19:25,J,Y,Y,,Y,,Y,,20190902,20191026,N
S19,J1255,ARP3,ARP1,18:15,19:25,J,,Y,Y,,Y,,Y,20190521,20190901,N
