,AOD,ARP,FLO,ODP,Month,hpa,ARPODP,Fri,Thu,Wed,Mon,Sun,SAT,Tue,time,fog,DLY,DLY_RATE
0,D,0,6,8,9,1012.0,12,0,0,0,1,0,0,0,0.18597560975609762,0.39507218533915617,0.0,0.05925177037715912
1,D,0,5,3,9,1012.0,10,0,0,0,1,0,0,0,0.09451219512195125,0.39507218533915617,0.0,0.022176260128617287
2,D,0,2,8,9,1012.0,12,0,0,0,1,0,0,0,0.5121951219512195,0.39507218533915617,0.0,0.026096750050783157
3,D,0,2,8,9,1012.0,12,0,0,0,1,0,0,0,0.44512195121951226,0.39507218533915617,0.0,0.017029497772455215
4,D,0,5,8,9,1012.0,12,0,0,0,1,0,0,0,0.8597560975609756,0.39507218533915617,0.0,0.008940223604440689
5,D,0,0,8,9,1012.0,12,0,0,0,1,0,0,0,0.798780487804878,0.39507218533915617,0.0,0.1576566994190216
6,D,0,3,8,9,1012.0,12,0,0,0,1,0,0,0,0.6097560975609756,0.39507218533915617,0.0,0.009649601764976978
7,D,0,2,8,9,1012.0,12,0,0,0,1,0,0,0,0.5487804878048781,0.39507218533915617,0.0,0.155674546957016
8,D,0,0,8,9,1012.0,12,0,0,0,1,0,0,0,0.12804878048780488,0.39507218533915617,0.0,0.03999657556414604
9,D,0,3,8,9,1012.0,12,0,0,0,1,0,0,0,0.06097560975609756,0.39507218533915617,0.0,0.11605030298233032
10,D,0,1,8,9,1012.0,12,0,0,0,1,0,0,0,0.8750000000000001,0.39507218533915617,0.0,0.007838748395442963
11,D,0,0,8,9,1012.0,12,0,0,0,1,0,0,0,0.8140243902439025,0.39507218533915617,0.0,0.12576903402805328
12,D,0,4,8,9,1012.0,12,0,0,0,1,0,0,0,0.8048780487804877,0.39507218533915617,0.0,0.053737886250019073
13,D,0,4,8,9,1012.0,12,0,0,0,1,0,0,0,0.7378048780487806,0.39507218533915617,0.0,0.1398390382528305
14,D,0,1,9,9,1012.0,13,0,0,0,1,0,0,0,0.5030487804878049,0.39507218533915617,0.0,0.06120399758219719
15,D,0,6,8,9,1012.0,12,0,0,0,1,0,0,0,0.19817073170731703,0.39091616420219,0.0,0.014288575388491154
16,D,0,1,10,9,1012.0,14,0,0,0,1,0,0,0,0.13109756097560976,0.39091616420219,0.0,0.13151772320270538
17,A,0,1,7,9,1012.0,11,0,0,0,1,0,0,0,0.9176829268292682,0.39091616420219,0.0,0.04788066819310188
18,D,0,1,7,9,1012.0,11,0,0,0,1,0,0,0,0.826219512195122,0.39091616420219,0.0,0.0171967726200819
19,D,0,5,7,9,1012.0,11,0,0,0,1,0,0,0,0.9817073170731708,0.39091616420219,0.0,0.040728915482759476
20,D,0,0,8,9,1012.0,12,0,0,0,1,0,0,0,0.9207317073170732,0.39091616420219,0.0,0.027874650433659554
21,A,0,0,8,9,1012.0,12,0,0,0,1,0,0,0,0.4420731707317074,0.39091616420219,0.0,0.1213909387588501
22,A,0,0,8,9,1012.0,12,0,0,0,1,0,0,0,0.19817073170731703,0.39091616420219,0.0,0.009754695929586887
23,D,0,5,8,9,1012.0,12,0,0,0,1,0,0,0,0.13414634146341464,0.39091616420219,0.0,0.12238793075084686
24,D,0,3,8,9,1012.0,12,0,0,0,1,0,0,0,0.2164634146341463,0.39091616420219,0.0,0.030229682102799416
25,D,0,1,8,9,1012.0,12,0,0,0,1,0,0,0,0.14939024390243905,0.39091616420219,0.0,0.16422854363918304
26,D,0,3,8,9,1012.0,12,0,0,0,1,0,0,0,0.8140243902439025,0.39091616420219,0.0,0.01225974503904581
