,SDT_YY,SDT_MM,SDT_DD,hour,ARP,temp,hum,dew,windSpeed
0,2019,9,16,0,ARP1,24,56,14,2.057777777777778
1,2019,9,16,1,ARP1,23,57,14,1.028888888888889
2,2019,9,16,2,ARP1,23,58,14,0.5144444444444445
3,2019,9,16,3,ARP1,23,59,14,0.5144444444444445
4,2019,9,16,4,ARP1,22,60,14,0.5144444444444445
5,2019,9,16,5,ARP1,22,62,14,0.5144444444444445
6,2019,9,16,6,ARP1,22,64,15,1.028888888888889
7,2019,9,16,7,ARP1,22,64,15,0.5144444444444445
8,2019,9,16,8,ARP1,23,60,15,0.5144444444444445
9,2019,9,16,9,ARP1,24,54,14,0.5144444444444445
10,2019,9,16,10,ARP1,26,46,14,0.5144444444444445
11,2019,9,16,11,ARP1,27,40,12,0.5144444444444445
12,2019,9,16,12,ARP1,28,35,11,0.5144444444444445
13,2019,9,16,13,ARP1,29,32,10,1.028888888888889
14,2019,9,16,14,ARP1,29,30,10,1.028888888888889
15,2019,9,16,15,ARP1,29,31,10,2.5722222222222224
16,2019,9,16,16,ARP1,28,35,11,3.601111111111111
17,2019,9,16,17,ARP1,27,38,12,3.601111111111111
18,2019,9,16,18,ARP1,26,40,12,3.601111111111111
19,2019,9,16,19,ARP1,25,43,12,3.0866666666666664
20,2019,9,16,20,ARP1,25,46,13,3.0866666666666664
21,2019,9,16,21,ARP1,24,51,13,3.0866666666666664
22,2019,9,16,22,ARP1,24,57,15,3.601111111111111
23,2019,9,16,23,ARP1,23,66,16,3.601111111111111
24,2019,9,17,0,ARP1,22,68,16,3.0866666666666664
25,2019,9,17,1,ARP1,22,67,16,2.5722222222222224
26,2019,9,17,2,ARP1,22,68,16,2.057777777777778
27,2019,9,17,3,ARP1,22,67,15,1.5433333333333332
28,2019,9,17,4,ARP1,21,67,15,1.5433333333333332
29,2019,9,17,5,ARP1,21,66,15,1.028888888888889
30,2019,9,17,6,ARP1,21,66,15,0.0
31,2019,9,17,7,ARP1,22,65,15,0.5144444444444445
32,2019,9,17,8,ARP1,22,64,15,0.5144444444444445
33,2019,9,17,9,ARP1,23,61,15,0.5144444444444445
34,2019,9,17,10,ARP1,24,58,15,0.0
35,2019,9,17,11,ARP1,25,55,15,0.5144444444444445
36,2019,9,17,12,ARP1,25,53,15,0.5144444444444445
37,2019,9,17,13,ARP1,27,48,15,0.5144444444444445
38,2019,9,17,14,ARP1,27,47,15,0.5144444444444445
39,2019,9,17,15,ARP1,27,46,14,0.5144444444444445
